location,country_id,city,state
220,4,Fairfield,NSW
221,4,City of Knox,VIC
222,4,Dandenong,VIC
223,4,Darlinghurst,NSW
224,4,South Yarra,VIC
225,4,Auburn,NSW
226,4,Ryde,NSW
227,4,Surry Hills,NSW
228,4,Mascot,NSW
229,4,Rhodes,NSW
230,4,Banyo,QLD
231,4,Nundah,QLD
232,4,Cheltenham,VIC
233,4,Hills District,NSW
234,4,Toowong,QLD
235,4,City of Boroondara,VIC
236,4,Smithfield,NSW
237,4,Collingwood,VIC
238,4,Townsville,QLD
239,4,Paddington,NSW
240,4,Doncaster,VIC
241,4,St Leonards,NSW
242,4,Clayton,VIC
243,4,West Melbourne,VIC
245,4,Wynyard,TAS
246,4,Keysborough,VIC
247,4,Fairfield,VIC
248,4,Burwood,VIC
249,4,South Melbourne,VIC
250,4,Sydney Inner Suburbs,NSW
251,4,Alexandria,NSW
252,4,South Brisbane,QLD
253,4,Silverwater,NSW
254,4,Hobart,TAS
255,4,Adelaide CBD,SA
256,4,Scoresby,VIC
257,4,Brisbane Central Business District,QLD
258,4,Gepps Cross,SA
259,4,Linley Point,NSW
260,4,Redfern,NSW
261,4,Southbank,VIC
262,4,Eight Mile Plains,QLD
263,4,Burnley,VIC
264,4,Bondi,NSW
265,4,Chippendale,NSW
266,4,Ravenhall,VIC
267,4,Geelong,VIC
268,4,Gleniffer,NSW
269,4,Rocklea,QLD
270,4,Osborne Park,WA
271,4,Dingley,VIC
272,4,Newcastle,NSW
273,4,Pyrmont,NSW
274,4,Strathfield,NSW
276,4,The Rocks,NSW
277,4,Richmond,VIC
278,4,Matraville,NSW
279,4,Gladstone,QLD
280,4,Mulgrave,VIC
281,4,Northern,Territory
282,4,Pearce,WA
283,4,Gregory,WA
284,4,Campbellfield,VIC
285,4,Western,Australia
286,4,Milton,NSW
287,4,Fortitude Valley,QLD
288,4,Port Hedland,WA
289,4,Williamtown,NSW
290,4,Wollongong,NSW
291,4,Boddington,WA
292,4,Lyndhurst,VIC
293,4,Pakenham,VIC
294,4,Douglas Park,NSW
295,4,Pymble,NSW
296,4,Grafton,NSW
297,4,West Perth,WA
298,4,Pilbara,WA
299,4,Lithgow,NSW
300,4,Mount Waverley,VIC
301,4,Spreyton,TAS
302,4,Newtown,NSW
303,4,Bundall,QLD
304,4,Lindfield,NSW
