location_id,country_id,city,state,lat,lng
115,2,Kitimat,BC,54.0535577,-128.6540519
140,2,North Battleford,SK,52.776186,-108.300476
91,2,Ermineskin 138,AB,53.4577179,-113.505378
157,2,Port Hope,ON,43.9515755,-78.2939704
188,2,Steinbach,MB,49.530557,-96.69342
218,2,Westlock,AB,54.1525241,-113.8519902
48,2,Alberta,Alberta,53.52682,-113.5244937
90,2,Enterprise,NB,46.9591203,-67.3868254
44,2,Abbotsford,BC,49.0521162,-122.3294792
57,2,Blacks Harbour,NB,45.058501,-66.7900104
81,2,Creston,BC,49.0971526,-116.5129759
76,2,Chilliwack,BC,49.157677,-121.9514307
141,2,North Vancouver,BC,49.3207133,-123.0737831
197,2,Tecumseh,ON,42.3117951,-82.8861974
98,2,Greater Toronto Area,ON,43.7146484,-79.5887565
64,2,Bruxelles,MB,49.487322,-98.918504
124,2,Lucknow,ON,43.961848,-81.5172512
178,2,Simcoe,ON,42.8372434,-80.3039146
134,2,Mont-Saint-Hilaire,QC,45.5623512,-73.1918864
172,2,Salmon Arm,BC,50.7005059,-119.2790529
160,2,Quebec Province,Quebec Province,46.7995474,-71.2247544
129,2,Middleton,NS,44.942431,-65.0680746
139,2,Norfolk County,ON,42.7971532,-80.4538365
191,2,Stony Rapids,SK,59.259775,-105.8050178
107,2,Iroquois,ON,44.8492835,-75.3151083
183,2,St. George,NB,45.1275604,-66.8269836
86,2,Dorchester,ON,42.9886863,-81.0586953
111,2,Kingston,ON,44.230687,-76.481323
163,2,Revelstoke,BC,50.998045,-118.1956709
220,2,Whistler,BC,50.1171903,-122.9543022
65,2,Buick,BC,56.7584379,-121.2771396
200,2,Thompson,MB,55.743347,-97.863464
202,2,Tilbury,ON,42.2593155,-82.4322682
198,2,Teeswater,ON,43.9981333,-81.2866129
164,2,Rexdale,ON,43.7213619,-79.5655129
78,2,Come By Chance,NL,47.8459634,-53.9844362
155,2,Ponoka,AB,52.6717787,-113.5994334
151,2,Petersburg,ON,43.4135333,-80.6051477
46,2,Airdrie,AB,51.28597,-114.01062
120,2,Leduc,AB,53.2732252,-113.549432
88,2,East York,ON,43.699971,-79.33252
153,2,Pitt Meadows,BC,49.2207623,-122.6901534
176,2,Shawinigan,QC,46.5389609,-72.7467621
203,2,Tillsonburg,ON,42.859494,-80.7265015
49,2,Aldergrove,BC,49.0596635,-122.4922381
108,2,Kamloops,BC,50.6758269,-120.3394159
128,2,Metro Vancouver Regional District,BC,49.2618661,-122.9555509
105,2,Ingersoll,ON,43.037725,-80.88211
116,2,Labrador City,NL,52.9422944,-66.9177291
53,2,Bath,ON,44.1830254,-76.7756561
199,2,Terrace,BC,55.001251,-125.002441
184,2,St. Isidore,ON,45.38561,-74.9057344
167,2,Saanichton,BC,48.5964295,-123.3913348
147,2,Ottawa West,ON,45.421106,-75.690308
85,2,Dollard-Des Ormeaux,QC,45.48423,-73.8064547
71,2,Campbellford,ON,44.3085912,-77.798084
58,2,Borden,ON,43.4423514,-80.4751159
192,2,Stouffville,ON,43.9708746,-79.2500689
193,2,Stratford,ON,43.3700899,-80.9818016
1095,4,Sydney,NSW,-33.8548157,151.2164539
940,4,Altona North,VIC,-37.8378229,144.8342853
986,4,East Melbourne,VIC,-37.812498,144.9858851
1027,4,Melbourne City Centre,VIC,-37.8142176,144.9631608
963,4,Canberra,ACT,-35.2975906,149.1012676
1026,4,Melbourne,VIC,-37.8142176,144.9631608
1003,4,Hawthorn East,VIC,-37.8313785,145.0499797
999,4,Gold Coast,QLD,-28.0023731,153.4145987
1105,4,Victoria,Victoria,-37.8100963,144.9855319
936,4,Adelaide Region,SA,-22.2146553,133.9362574
1036,4,New South,Wales,-33.9175545,151.2291515
954,4,Brisbane,QLD,-27.4689682,153.0234991
1102,4,Toowoomba,QLD,-27.5610193,151.953351
1020,4,Macquarie Park,NSW,-33.7814961,151.1256747
1096,4,Sydney Central Business District,NSW,-33.8816652,151.2053251
1082,4,South Hobart,TAS,-42.8960515,147.3092219
945,4,Barangaroo,NSW,-33.8614084,151.2016877
949,4,Bella Vista,NSW,-33.7416936,150.9547183
1011,4,Illawarra,NSW,-34.4614505,150.7904074
1038,4,Newstead,QLD,-27.4453279,153.0444763
1042,4,North Ryde,NSW,-33.7975472,151.127306
947,4,Beacon Hill,NSW,-33.751787,151.2600828
943,4,Australia,Australia,-24.7761086,134.755
1055,4,Parramatta,NSW,-33.8069697,151.0213625
1057,4,Perth,WA,-31.9527121,115.8604796
983,4,Docklands,VIC,-37.8175423,144.9394923
1043,4,North Sydney,NSW,-33.8354519,151.2083011
953,4,Botany,NSW,-33.947829,151.1990644
1077,4,Seven Hills,NSW,-33.7760305,150.9427044
1098,4,Sydney Western Suburbs,NSW,-33.9432094,151.1872575
979,4,Darwin,NT,-12.46044,130.8410469
1033,4,Mount Cotton,QLD,-27.62,153.2183333
1080,4,South,Australia,-30.5343665,135.6301212
964,4,Castle Hill,NSW,-33.7315318,151.0071718
1040,4,North Lakes,QLD,-27.2378227,153.0183242
1066,4,Queensland,Queensland,-27.4974181,153.0131696
990,4,Fairfield,NSW,-33.8674403,150.8893104
971,4,City of Knox,VIC,-37.898453,145.2648563
976,4,Dandenong,VIC,-37.98749,145.2147923
978,4,Darlinghurst,NSW,-33.8783381,151.219225
1085,4,South Yarra,VIC,-37.8377695,144.9918537
942,4,Auburn,NSW,-33.8545702,151.0255673
1075,4,Ryde,NSW,-33.8015751,151.1046184
1094,4,Surry Hills,NSW,-33.8845123,151.2100301
1024,4,Mascot,NSW,-33.9289562,151.1951782
1071,4,Rhodes,NSW,-33.8290589,151.0873578
944,4,Banyo,QLD,-27.3760218,153.0771634
1047,4,Nundah,QLD,-27.4012298,153.0603789
966,4,Cheltenham,VIC,-37.9670081,145.0546951
1005,4,Hills District,NSW,-33.7428695,151.082309
1101,4,Toowong,QLD,-27.4857407,152.9915943
970,4,City of Boroondara,VIC,-37.8266965,145.0611952
1079,4,Smithfield,NSW,-33.8478215,150.9408736
974,4,Collingwood,VIC,-37.802104,144.9881387
1103,4,Townsville,QLD,-19.2569391,146.8239537
1052,4,Paddington,NSW,-33.8841572,151.2272766
984,4,Doncaster,VIC,-37.7848299,145.1238431
