job_id,job_title_id,country_id,job_title,company_name,location_id
p_16c11f1be80f5da7,1,2,Data Analyst,The Delf Group,83
p_e108559061c5ef91,1,2,Data Analyst / Analyste de données,Tecsys,219
p_d4cfa3d750503370,1,2,Data Dictionary Analyst - Patient Registration,Trillium Health Partners,132
p_402d810c3210bf97,1,2,Research & Data Design Analyst,City of Calgary,69
p_2eb9d8f594a1e7f9,1,2,Data Analyst,HKJ Marketing,165
p_0af011edd5afa1fd,1,2,Analyst - Health and Benefits,Gras Savoye,69
p_50174279f82cb6df,1,2,DATA ANALYST & INTEGRATOR,City of Toronto,205
pj_73183bb5f0e43b8c,1,2,Sales Support Analyst,Ennis Fabrics,89
p_5461730ab6830bff,1,2,"Senior Analyst, Internal Controls (Data)",RBC,54
p_65662fa5e706c2e3,1,2,"Analyst, Data Mining",Charles River Laboratories,119
p_26440d5e9c26472e,1,2,database analyst,Olivia Marie Gardens Medical Centre Inc,131
p_834fb13849446a0f,1,2,database analyst (DBA),NKN Consultancy,61
p_046d4c73ef2e3cb5,1,2,Data Analyst,Opta Information Intelligence Corp.,126
p_6f722a53ef473b95,1,2,Digital Analyst,Venture Communications,69
p_76274c179d8e3415,1,2,"Analyst, Vendor Management, Market Data Services - New Grads",Scotiabank,205
p_269b5188bb0d3602,1,2,Data Analyst - Video Sharing Platform BI,MindGeek Careers,135
p_f480a987c65875d3,1,2,Data Analyst Career Coach,Duke Academy,142
p_ff8456099f7a902c,1,2,"Sr. Analyst, Data Analytics",Poshmark,207
p_9a1a9b93f844ce33,1,2,Inventory Analyst,WeedMD Rx Inc.,51
p_8711ae189a727d84,1,2,Business Intelligence Analyst,University of Ottawa,146
p_60c4094ebfb40479,1,2,Business Intelligence Analyst - SQL Developer,dentalcorp,205
p_ede8e359a40d283c,1,2,Case Costing Data Analyst,William Osler Health Centre,148
p_005e5935e8044b08,1,2,Rewards Analyst (University),Gras Savoye,135
p_7693d53ac254cfe1,1,2,ERP PURCHASING ANALYST,MineSense Technologies,207
p_556330dae9b11384,1,2,Researcher And Policy Analyst,Canadian Teachers' Federation,80
p_0cf29e22e28d7346,1,2,BI Developer,AJW Technique,135
p_58d19e942f87acf8,1,2,Business Data Analyst,University of British Columbia,207
p_be2288b3643c890e,1,2,Field Data Reporting Analyst,CNRL,69
p_86491410f700e4b1,1,2,Data Analyst - Immunology,Caprion,135
p_9c305ee5969b1631,1,2,Compensation / Total Rewards Analyst,Compass Group Canada,132
p_82bffe434ab39112,1,2,Safety Analyst,Westcan Bulk Transport Ltd .,89
p_06e41d411ff8b961,1,2,Business Analyst,Amazon FC Slovakia s. r. o,173
pj_8d6bb5d0ff9caf51,1,2,Analyste BI - BI Analyst,Bonduelle,169
p_216cea8e5e57de48,1,2,database analyst,Luvinova Property Management Corporation,101
p_607081c1f65a8b19,1,2,"Analyst, Data Insights",Salesforce,205
p_546e17fd989feb41,1,2,Marketing Data Analyst,Ludia,135
p_9a08bfc6354c9d9e,1,2,Statistical Analyst,Pacific General Underwriting Management Ltd,207
p_95e1c444be8750f2,1,2,"Business Intelligence, Data Analytics & Insights",BRP,206
p_a42405c583c91b67,1,2,Product Analyst,Loblaw Companies Limited,61
p_7553e1198646bbff,1,2,database analyst,Green Bee 3,79
p_1b4608cb4abc16f3,1,2,Business Analyst,Paradigm Consulting Group,161
p_c0622f895d28aa33,1,2,Data Analyst,Bayshore HealthCare,126
p_81bb23e49a91f450,1,2,Database Analyst,Powernode Computer Inc.,126
p_53b653515971b3d4,1,2,Analyst - Health and Benefits,Willis Towers Watson,69
p_1bec2dbca2ca6b33,1,2,"Analyst, Identity Data",Loblaw Companies Limited,61
p_37a0e37eb43af793,1,2,Pricing Analyst,Bunzl Canada,66
p_fc737cafe274ee2d,1,2,Project Operations Analyst,Resolver,89
p_309082eae8f64f6f,1,2,Senior Business Analyst,Luxoft,205
p_a51a1a85eac57f47,1,2,Data Analyst Health Surveillance - BC Centre for Disease Con...,PHSA,207
p_8e94466a70d3591a,1,2,Environmental Sustainability Analyst,Sobeys,132
p_fc1458755f9a52f0,1,2,TABLEAU DEVELOPER (SOPHI),The Globe and Mail,205
p_1c4ebd39450a80af,1,2,Customer Insights Analyst,Boehringer Ingelheim,66
p_52ebc98512084c39,1,2,Project Analyst,Shared Health,125
p_0489f33069e9d096,1,2,Technical Business Analyst- Fixed Term Contract,United Way Calgary and Area,69
p_c17876bdf508235e,1,2,"Analyst – Fixed Income, Profit and Loss",BMO Financial Group,135
pj_f5d9c2698dfee24c,1,2,Workforce Management Analyst,StorageVault Canada Inc.,146
p_6458ba21186f76c6,1,2,Senior Business Analyst,Fraser Health,195
p_005946c2674f0bde,1,2,Computer Programmer/Analyst,Labrador-Grenfell Health,181
p_3f94c4470d700625,1,2,"Data Analyst, Product & Operations",reebee,114
p_c55a69587e44a7be,1,2,Catalog Content Analyst,Instacart,205
p_b5030b38c536e6f3,1,2,Business Analyst I,Simon Fraser University,67
p_cc404ca8b4559ebf,1,2,Data Analyst - Business Intelligence,North American Palladium,201
p_56f4b6ff03821f66,1,2,BUDGET&FINANCIAL ANALYST (II),McMaster University,103
p_abbded931dbe945d,1,2,Business Intelligence Developer,Inno Foods Inc.,156
p_f4845cab0a21ccbc,1,2,Croesus - Data analyst,Quebec en Mexico,159
p_38e2d5052730c46b,1,2,"Analyst, Payroll/HRM Systems Data",ACCOR,205
p_51deafc623bf9596,1,2,Fenergo - Data Analyst(Technical),Luxoft,205
p_f41caed47417b44b,1,2,"Bilingual Analyst, Postsecondary Education and Adult Learnin...","THE COUNCIL OF MINISTERS OF EDUCATION, CANADA (CME...",205
p_cf043f41847b2987,1,2,Senior Data Loss Monitoring Analyst,Scotiabank,175
p_e97733f0b1e1fa02,1,2,"Analyst, Program Management Office",Canadian Red Cross,146
p_e214408a08c74629,1,2,Fuel Pricing Analyst,Circle K,133
p_5b3bbc88ce8b6ce6,1,2,Field Data Reporting Analyst,Canadian Natural,69
p_88195560f13f7df9,1,2,BI Developer – ETL Data Warehousing,Ubisoft,135
p_9a414b623e5b98a9,1,2,"Land and Permit Interface Analyst, TMEP (term role)",Trans Mountain Corporation Inc.,69
p_ac702f6351778645,1,2,Sustainability Analyst,The Skyline Group of Companies,100
p_29163275ce98553a,1,2,"Analyst, Business Systems",Fraser Health,195
p_81b5b9cc9e0d7159,1,2,Business Analyst,ThoughtStorm,208
p_5a3f0f12c0c94fc3,1,2,Datorama – Data Analyst - Toronto,Capgemini,205
p_5b3d86010bc8f854,1,2,Clinical Trials Data Anonymization Analyst,IQVIA,144
p_f9c44b4c0f2dfe2b,1,2,Business Insights Analyst,Lundbeck,171
p_a47de9e99fd3f5ad,1,2,Operations Analyst,The Economical Insurance Group,205
p_d18c60372b81f986,1,2,Market & Development Analyst,Zenterra Developments Ltd.,195
p_aecad2500c587a76,1,2,Data Analyst - Fraud Detection,MindGeek Careers,135
p_8256c2df0bd0b57c,1,2,Business Analyst - Oilfield Drilling & Completion Software,Resource Energy Solutions (RES),69
p_6d94a19d9d372637,1,2,Data Analyst,Affinity.co,205
p_da665f600238b70f,1,2,Reinsurance Analyst- REACH Program (University)- Toronto,Gras Savoye,205
p_e3b1b2062f53e3fe,1,2,Data Analyst,Plooto,205
p_bb0be8eda88317ed,1,2,Quality Assurance Analyst,Alterna Savings,146
p_e22afd95ccaa5885,1,2,Analyst CX Measurement,Canada Life Assurance Company,205
p_7707dbe3e6cf3b7f,1,2,Data Analyst,District M,135
p_0454225e2b57db4b,1,2,Pricing Analyst,opentext,216
p_81cfbee92ccdedf4,1,2,data analyst - informatics and systems,ReactiveStax Technologies Inc,205
p_5411503bf41ba6db,1,2,Research Analyst,Centre for Addiction and Mental Health,205
p_5b85b2593bf34b0d,1,2,Business Analyst,JDI IT,168
p_c18624a5c58727f8,1,2,"Advisor, Business Intelligence, Data Visualization",Desjardins,135
p_e84d54c97d6edcd5,1,2,Data Analyst,Ludia,135
p_418c5663e7239f85,1,2,Data Analyst,CTDI,143
p_4e9ccddc0e3caf17,1,2,Senior Business Data Analyst,Athena Software,216
p_00c59f141cc779f8,1,2,"Marketing Analyst, Customer Data and Insights",Knowledge First Financial,132
p_d34cfe808545ec48,1,2,Client Technology - Client Lifecycle Management Business Ana...,RBC,205
p_c25d998c40fc85c0,1,2,HR Operations Analyst (Employee Data Mgt),AXIS Insurance,102
p_99f881887e33d8c9,1,2,Game Intelligence Analyst,Ubisoft,135
p_9a56c7130dd5f836,1,2,Lead Inventory Analyst,Avmax Careers - Canada,69
p_44e5f9a719769bb7,1,2,"Quality Control Analyst, Analytical Testing",STEMCELL Technologies,207
p_d0a540036f736943,1,2,Business Planning Analyst,Teck Resources Limited,180
p_2eb25392f65571fd,1,2,Jr. Data/Reporting Analyst,Scarsin,126
p_7b9079f4909cdae4,1,2,Business Intelligence Data Strategist 3155800,Morgan Stanley,135
p_59c2a51b79563298,1,2,Business Intelligence Analyst,BGIS,146
p_6dc29ce81a789ff3,1,2,Corporate Real Estate Analyst,Stantec,89
p_888463ee0c13e4b5,1,2,BUSINESS SYSTEMS ANALYST,The MEARIE Group,137
p_c2c149e1245ec911,1,2,Project Operations Analyst,Resolver Inc.,72
p_915aac53a4640e97,1,2,ETL/Data Systems Analyst,Energy Profiles Limited,205
p_083f77468150bef2,1,2,Data Analyst,Evercore,135
p_5ed7aa12fef27b44,1,2,Retirement Actuarial Analyst (University),Gras Savoye,205
p_cb11c5a6fc8b77a6,1,2,Cost Accountant/SAP Data Analyst,Sika Corporation,143
p_a9257f1ba7effcc8,1,2,Systems Analyst II (Data Importer) -,TELUS Communications,159
p_73ceb42c01afb56b,1,2,"Programmer Analyst, Business Intelligence",Desjardins,135
p_eca1cda62aefeaf3,1,2,Functional Analyst,Bouclair,154
p_bd56b4ffb580446f,1,2,Technical Business Analyst_Fulltime_Perm role,Peopleforce Inc,205
p_c285e13a9fa01953,1,2,Manufacturing Analyst,Cimpress/Vistaprint,117
p_f0a1dfa7049bdd85,1,2,Senior Business Analyst,OMERS,205
p_ffe450bc31e86840,1,2,GRADCORPS: Business Analyst/Data Manager,Yukon Government,221
p_df7014fe5a92ea8f,1,2,Technical Support Analyst,Colas Canada Inc. (500),89
p_7bc1b9cd455f51be,1,2,Business Intelligence & Reporting Analyst,eCompliance,205
p_3a42129c25960834,1,2,"Reporting Analyst, Strategy & Capital Markets",QUESTRADE INC,205
p_a894a93a36ca6df9,1,2,"Data Analyst, Global Procurement",RBC,205
pj_3ff672711bdea7c5,1,2,Business Analyst,The Aurum Group,69
pj_06e24dd0cc69a638,1,2,GIS Analyst / Developer,Point Integrated Data Solutions,69
p_c5ddc28702df330b,1,2,"Analyst, Settlements",IESO,132
p_83304d5144e9ea91,1,2,Compensation Analyst,Geotab,143
p_86d0093cb08ebf47,1,2,Senior Policy Analyst,Metro Vancouver,67
p_6dbf8edbc44f4d21,1,2,"Senior Analyst, Enterprise Data Management",Equitable Bank,205
p_6b6b5acf6247fa5e,1,2,"Research Analyst, Part-time, 12 month Contract",Connect First Credit Union,69
p_8cfafec945a84606,1,2,Category Analyst,Brafasco,210
p_71f97df17cb69d0e,1,2,Business Analyst \ Business Data Analyst ( Banking and Capit...,Globewin Consulting Incorporation,143
p_3bb3aeeafcee201f,1,2,Business Analyst,Trafigura,69
p_58d07b17d93f86ed,1,2,Information Security Analyst (Entry Level),J.D. Power,144
p_044e8611bdfa3685,1,2,Junior Analyst / Product Developer,Sensor Technologies,143
p_bdea952304370a4d,1,2,"Senior Systems Analyst, Reporting Services Team",British Columbia Institute of Technology (BCIT),67
p_fd152c8fe8ead83d,1,2,Workday Analyst,Morneau Shepell,205
p_40bafb7ee2ea8dcc,1,2,Jr. Business Intelligence Developer,Sterling-Turner,205
p_4f503f8339e1c71d,1,2,"Analyst, Business Intelligence",CPA Western School of Business,207
p_e206a8fcfd13c881,1,2,Business Analyst - Capital Markets & Post Trade Processing,Cognizant Technology Solutions,205
p_1ecad7a9c1f0743e,1,2,Business Analyst,TransForm Shared Service Organization,222
p_45b42d8ab6d37aa3,1,2,Sr Business Analyst,TELUS,72
p_c5584e8bf7920e82,1,2,Analyst,FirstOntario Credit Union,190
p_7e143171c7672c21,1,2,CEG Sales Analyst,Yamaha Motor Canada,205
p_fec1bb2c05390f9e,1,2,Media Analyst (Music Marketing),Wavo,135
p_1f8450c0e2352eab,1,2,Business Analyst,Shaw Communications,205
p_0690c84987b4cf90,1,2,"Fraud Detection Analyst, Cards",BMO Financial Group,205
p_f117c0dab719f3bd,1,2,Health and Safety Analyst,Baffinland Iron Mines,127
p_ae3a3cd8ffd4dcf7,1,2,BI Developer,Cayenta,63
p_c9cc56dad8b7f262,1,2,BI Developer,Harris Computer Systems,63
p_b76f9002a57a2cf6,1,2,Data Reporting Analyst,Small Business BC,207
p_0287aa9ca6eb6881,1,2,Evaluation and Performance Measurement Analyst (12-18 Month...,Canadian Centre on Substance Use and Addiction,146
p_543303efcfd7616f,1,2,Regulatory Information Analyst,Nimonik Inc,135
