Job ID,Job Title Index,Job Title,Company Name,Company Location,Country
p_4be3c710e7cf1f33,1,Associate Cybersecurity Analyst,Visa,Singapore,1
p_634c065d1d916520,1,Business Analyst,Groupe Crédit Agricole,Singapore,1
p_b3b22d8a962f599c,1,Logistics Analyst,Advanced Sterilization Products,Singapore,1
p_2380eaa75b617405,1,"Senior Analyst, Data Science (Value Driven Analytics Researc...",SingHealth Community Hospitals,Singapore,1
p_4476576a703fc69d,1,Senior Threat Analyst,ENSIGN INFOSECURITY (CYBERSECURITY) PTE. LTD.,Toa Payoh,1
p_61a4fe33fb281b17,1,"Data Analyst Intern, STO",Civil Service College,Singapore,1
p_dd02505add7c031c,1,Business Analyst,OCBC Bank,Singapore,1
p_d99d4d90257e85a8,1,Supply Planning Analyst,Procter & Gamble,Singapore,1
p_04a39519e88209f2,1,TCU Credit,Barclays,Singapore,1
p_e12d213bb1114352,1,"Senior Manager, Data and Business Analyst, APJ",Citrix,Singapore,1
p_ec26ab2cb26a8d1c,1,Data Analyst Continuous Improvement (SGUnited Traineeship),Applied Materials South East Asia Pte Ltd,Singapore,1
p_a84aaac7b2745b44,1,Alteryx Data Analyst,eTeam Workforce Pte Ltd,Singapore,1
p_033f2c7a1c10e68f,1,Investment Banking Analyst 1,BEATHCHAPMAN (PTE. LTD.),Tanjong Pagar,1
p_0c549ea2b6e8ce23,1,Pricing Analyst,Upwork,Singapore,1
p_902df7bf14309d0b,1,Application Analyst - Oracle Data Stores (JD#6564),SCIENTE INTERNATIONAL PTE. LTD.,Bedok,1
p_a069c4620e31322b,1,"Financial Analyst, Diagnostics (ASEAN)",Siemens Healthcare Pte Ltd,Central Singapore,1
p_b459541cb1b9d49f,1,Research Analyst - Financials,Janus Henderson,Singapore,1
p_54c8802fb01d8e24,1,"Junior Opportunity: Country Risk Analyst, Fitch Solutions, S...",BMI BMI Singapore,Singapore,1
p_522d8a3801ad89ab,1,Ad Integrity Data Analyst-Singapore,Bytedance,Singapore,1
p_31e2f345cf30b4b1,1,"Analyst/Senior Analyst (POCDEX), Data Office, Strategic Plan...",Public Service Division,Singapore,1
p_7e290643090847b5,1,Data Analyst Manager,NTUC FairPrice,Singapore,1
p_025dcf62964c33f5,1,Background Screener/Analyst - Asia,Pinkerton,Singapore,1
p_7a8df962612c069f,1,Research Analyst,WILKINSON INTERNATIONAL PTE. LTD.,Outram,1
p_705ab4d86cb3a62c,1,Business Analyst (Tax),KPMG,Singapore,1
p_c87b708094b42551,1,SGUnited Analyst - Group Strategy,FWD Insurance,Singapore,1
p_5a4d7da8b0edb68c,1,Business Data Analyst,AIA,Singapore,1
p_510881e8d2a33dae,1,"Analyst/Senior, Data Management & Informatics (2-yr contract...",Changi General Hospital,Singapore,1
p_30737709e9e24221,1,Risk Event Analyst,Everbridge,Singapore,1
p_ef7e6d22e9dfa135,1,Data Analyst,JAC Recruitment Singapore,Singapore,1
p_e5a425cc9cba66fe,1,Research Analyst - Economics,CRU,Singapore,1
p_2da00211bf95b944,1,Senior Data Engineer,ENSIGN INFOSECURITY (CYBERSECURITY) PTE. LTD.,Toa Payoh,1
p_2af0579a4f34b50b,1,"Administrative Business Partner, Marketing",Google,Singapore,1
p_14270858833bfb27,1,Business Development Analyst Intern,Bühler,Singapore,1
p_5f63b6de0bbbbc62,1,Data Analyst - Autumn Life,Standard Chartered,Singapore,1
p_da3dc4a01cc31e4f,1,Media Analyst (Malay Proficiency),Meltwater,Singapore,1
p_7a70a81602396a28,1,"Data Analyst (Data Management Unit, Contact Tracing Centre)...",Ministry of Health,Singapore,1
