,Job ID,Job Title Index,Job Title,Company Name,Company Location
70,p_f5816c2faf0334be,1,Data Analyst - PolyOne Careers,PolyOne,Singapore
71,p_3844b8a244f31491,1,"Internship (Data Analyst/Ecosystem Development), CSA",MCI – Cyber Security Agency of Singapore,Singapore
72,p_a84aaac7b2745b44,1,Alteryx Data Analyst,eTeam Workforce Pte Ltd,Singapore
73,p_2e76498c45862a6b,1,Business Risk Data & Sampling Analyst,UBS,Singapore
74,p_efee45f513fcb4ff,1,Digital Systems and Data Analyst,Marsh and McLennan,Singapore
75,p_a9f83934f988f970,1,"Lead, Market Analyst (Data)",Grab Taxi,Singapore
76,p_277ccdf096686b59,1,Market Analyst,Zagro,Singapore
77,p_9ebec83f4635a21d,1,Social Insights Analyst,Capgemini,Singapore
78,p_e6ba8cac9a9dddd0,1,Business Development Analyst Intern,Bühler,Singapore
79,p_8b8ae4fcff5a40f7,1,Business Intelligence Analyst,ServiceSource,Singapore
80,p_e8349a06dcbe75c6,1,Analyst,OCBC Bank,Singapore
81,p_ff1f4da0792b7166,1,"#SGUnitedTraineeships BI/Data Solutions Analyst, People Mana...",NLB National Library Board,Singapore
82,p_d00fa0c526a4460f,1,"Analyst, Customer Intelligence",Attribute Data Pte. Ltd.,Singapore
83,p_bb6a9adf9f1ce9d0,1,Staff Analyst,seagatetec,Singapore
84,p_daab458058cdf2ea,1,Data Engineer (Data Engineering),GVT Government Technology Agency (GovTech),Singapore
85,p_90e24f580c783b83,1,Data Engineer,You Technologies Group Limited,Singapore
86,p_79a13807391198f7,1,Market Data Operations Analyst,Intercontinental Exchange,Singapore
87,p_e519260762ad6f90,1,ASEAN Business Analyst,Confirmis Group,Singapore
88,p_07a6a81c7f67de67,1,Analyst,Solutionsatwork Pte Ltd,Singapore
89,p_76e999f69154a742,1,Data Analyst (Python),Sciente Consulting Pte. Ltd,Singapore
90,p_e5788d2722643b8f,1,Distribution & Logistics Intern Data Analyst,MSD,Tuas
91,p_2d270abf6e0432f4,1,Part-time / Full-time Data Analyst Intern (Spring 2021),Alton Aviation Consultancy,Singapore
92,p_61a4fe33fb281b17,1,"Data Analyst Intern, STO",Civil Service College,Singapore
93,p_910da2d5c3318017,1,Laboratory Analyst ( Train and Place),GSK,Jurong
94,p_387675f54d62d1ff,1,Digital Business Analyst,Jobster Pte Ltd EA License No: 06C5060,Singapore
95,p_634c065d1d916520,1,Business Analyst,Groupe Crédit Agricole,Singapore
96,p_73afc90b080dd417,1,Business Analyst (Payment & Fraud),Razer USA Ltd.,Singapore
97,p_49787a39a89ad032,1,Data Quality Analyst (1 year contract),PwC,Singapore
98,p_a3f2cf72d222b663,1,Data Analyst (Marketing Analytics),Shopee,Singapore
99,p_fb2198217ba3b1a5,1,"Support Analyst AMU, ATS",OCBC Bank,Singapore
100,p_f2a6cfa96fa9f9a6,1,M&A Analyst,EQUITEQ ASIA-PACIFIC PTE. LTD.,Bugis
101,p_add49aa5ac56a5c1,1,Data Analyst,Titansoft Pte Ltd,Central Singapore
102,p_7a70a81602396a28,1,"Data Analyst (Data Management Unit, Contact Tracing Centre)...",Ministry of Health,Singapore
103,p_11fb31f259c80c1c,1,Data Analyst,Snaphunt Pte Ltd,Singapore
104,p_69057540e3a0777f,1,Data Analyst,SNAPHUNT PTE. LTD.,Clementi
105,p_a13a7f7548bec1a5,1,"Junior Opportunity: Consumer Analyst, Fitch Solutions, Singa...",BMI BMI Singapore,Singapore
